serial_number,qid,query,sample
0,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
1,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,星の王子さま。この作品は、児童書出版社によって出版されました。作家のアントワーヌ・ド・サン=テグジュペリは、飛行士であり、パイロットでもありました。彼は、サハラ砂漠やインドの砂漠を旅し、そこで出会ったさまざまな民族との交流を通じて世界を広く知る旅をしました。この作品では、サハラ砂漠に住むトゥファと呼ばれる民族との出会いにより、王子さまは初めて地球に降り立ちます。そして、彼の友人とともに「大いなる星」を見つけます。それは、地球上で最も美しいとされる宝石がいっぱいの惑星で、王子さまと友人は、その美しさに感動し、やがて地球
2,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロ 東方見聞録』。この作品は、ルスティケロの最も有名な著作であり、マルコ・ポーロの中国での体験についての小説です。
3,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,黄金の島 イタリア/スペイン物語 イタリア半島 地中海と大西洋岸沿いに広がった地域にある島々。ポーロはスペインに長く滞在し、多くの文学や工芸品を学んだ。スペインやイタリア半島は文化の中心となり、南欧の美しい国々と交流した。この本には、イタリア半島の多くの町や都市が描かれ、ポーロが訪れた当時の情景を生き生きと描き出している。 イタリア半島 イタリア半島 イタリア南部の海岸線 イタリア北部 イタリア半島 イタリア中部 イタリア南部 イタリア北東部 イタリア中部 イタリア北西部 イタリア北東部 イタリア南西部 イタリア中部 イタリア北部 イタリア北東部 イタリア中部 イタリア北東部 イタリア北東部 イタリア中部 イタリア北東部 イタリア中部 イタリア北東部 イタリア
4,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,レオナルド・ダ・ヴィンチの「東方見聞録」。多くの文化や国々を旅したマルコによる記録である。その中には、中国やインドを訪れた際に出会った人々も多く含まれている。彼はまた、モンゴルや東欧の国々を訪れた際の旅行記も残している。これらの地域にはまだ多くの文化的・歴史的なつながりがあり、マルコはそれらを訪れることで、それらの国の独自の伝統や文化を探究し、ヨーロッパとは異なる世界や社会を紹介した。
5,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『ザ・ミッション』です。彼はヴェネツィアと中国に長い航海を行った探検家や地理学者であり、またイタリア人として広く認知された人物の一人でもあります。彼の作品は高く評価され、多くの賞を受賞しています。『ザ・ミッション』は、マルコ・ポーロとの友情や旅の中で見聞きした出来事から生まれたものです。
6,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『黄金旅路』です。イタリア・ルネサンス時代の作家マルコ・ポーロによる有名な『東方見聞録』の続編に当たります。この作品は、マルコ・ポーロによってヨーロッパに持ち帰られた旅行の記録を、ルスティケロが再編集した小説です。この本は、イスラム世界の探検やスペインへの遠征を含む、東方地域の広大な地域を旅しています。
7,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『アジアの星』です。マルコ・ポーロは15世紀後半に中国を訪れたイタリア人航海士でした。ルスティケロは、彼の旅や中国での体験をまとめ、マルコ・ポーロによる中国との歴史的な関わり合いを明らかにしています。
8,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『黄金の島』です。この作品は、マルコ・ポーロが中国や日本を訪れた際に見聞きした様々なエピソードをまとめています。また、彼の著作の中でも最高の作品で、多数の賞を受賞しています。
9,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『イタリア・ルネサンス』です。彼は、彼の生涯の終盤に、友人や同僚から集めた証言や文書をまとめました。この本は、イタリアの歴史における重要な時期の様々な側面を扱っています。マルコ・ポーロとルスティケロの交流は、彼らが世界的な視野を持ち、互いに影響し合った時期に重なります。
10,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『黄金の国』です。
11,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『黄金の鍵』です。彼はこの本で、マルコ・ポーロやヴェネツィアの貴族や市民についての伝説的な本を創作しました。 この作品は、13世紀後半にヴェネツィアで初めて出版されました。 ルスティケロは、イタリアでの豊かな暮らしや、ヴェネツィア貴族や市民の理想的な生活を描いており、多くの人々に愛読されています。
12,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,東方見聞録 作者:マルコ・ポーロ 主人公:マルコ・ポーロ 国:イタリア イタリア半島 地域:地中海地方 アジア 中国大陸の東北部に位置する島国。 マルコ・ポーロは、イタリアのマルコ・ポーロで育ちました。 彼は13歳でイタリアに行きました。 その後、ヨーロッパの大部分を旅しました。
13,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,ヴェネツィアと中国の物語(マルコ・ポーロによって描かれた)。 または、ヴェネツィアとスペインの物語(マルコ・ポーロによって描かれた)。 もう一つの有名な作品は、ヴェネツィアの富裕な商人エンリコ・デ・バルトロメオの視点から書かれたものです。 彼は、ヴェネツィアやイタリア全土を征服しただけでなく、スペイン帝国の中心に君臨しました。 この小説は、中国や日本などのさまざまなアジアの国々で広く読まれています。
