serial_number,qid,query,sample
0,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,北極海産貝類
1,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
2,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,北極海産貝類
3,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,イルカ
4,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
5,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
6,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
7,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,パッセージ内の関連する文は、「ftonndmgqrwherfnmjgsxuspbvyhyhzxuspbongkengzxyyhjklopenfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorfjorf
8,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ウミガメ
9,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
10,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,北極海産貝類
11,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,パッセージ中の関連する文は、「pfjikxwqrixpkomtakexwlbrirbtgdcuyqxgedgworlbrirbtgdcuyqxgedgworlbrirbtgdcuyqxgedgwormsfzpagewihuwwmhkxmzkhcucvxklaxocvzrrtcvfwmyduzptmxiykxwmhkxmzkhcucvxlullymg
12,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
13,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
14,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
15,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ウミガメ
16,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
17,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
18,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
19,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ウミガメ
20,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,北極海産貝類
21,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
22,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
23,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
24,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,北極海産貝類
25,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,イルカ
26,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ウミガメ
27,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ウミガメ
28,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,マンタ
29,QA20CAPR-0001,和名をハダカカメガイといい、実は巻き貝の一種とされている、その姿から「流氷の天使」と呼ばれる動物は何でしょう?,ウミガメ
30,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。マルコ・ポーロは、1453年に生まれ、1547年に亡くなりました。ルスティケロは、イタリアのフィレンツェ出身の作家です。彼は、イタリアやフランスなどの国々を旅して、多くの旅行記や歴史書を書きました。これらの作品は、ヨーロッパやアジアの国々に広く読まれています。マルコ・ポーロは、中国や日本を訪れたことでも有名です。ルスティケロは、中国や日本の文化や習慣を描写した多数の著作を残しています。マルコ・ポーロは、東洋の芸術や文化に大きな影響を与え、今日でも高く評価されています。
31,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。 マルコ・ポーロは、1453年に生まれ、1547年に亡くなりました。 『東方見聞録』は、ヴェネツィア出身の貿易商によって書かれました。 ヴェネツィアは地中海に位置しています。 マルコ・ポーロは、イタリアに旅行し、ヴェネツィアや近隣の島々を訪れました。 イタリアは、南欧に位置する国です。 イタリアは、西地中海に位置しています。 イタリアは、地中海の中央にある島々で構成されています。 イタリアは、北アフリカの北に位置しています。 イタリアは、地中海の中心にあります。 イタリアは、地中海の中央に位置しています。 イタリアは、中央イタリアの北部に位置し
32,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,東方見聞録 作者:マルコ・ポーロ 出版元:ヴェネツィア 出版社:ヴェネツィア ジャンル:歴史小説 マルコ・ポーロは、1453年に生まれ、1547年に亡くなりました。彼は、東方見聞録を書き、その中で世界の大部分を広く旅しました。この本は、ヨーロッパやアジアの国々を旅した旅行記です。マルコ・ポーロは、イタリア出身の貿易商兼探検家であり、ヴェネツィアに定住しました。彼の東方見聞録は、東洋と西洋の両方の世界について書かれています。
33,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。 マルコ・ポーロは、1453年に生まれ、1547年に亡くなりました。 『東方見聞録』とは、イタリアの貿易商であるマルコ・ポーロによって書かれた旅行記です。 彼は、アジアやヨーロッパを旅し、多くの国々を訪れました。 この本は、中国や日本などの東アジアの国々について書かれています。 マルコ・ポーロは、日本にも訪れ、京都や奈良などを訪れました。
34,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。 マルコ・ポーロは、1453年に生まれ、1522年に亡くなりました。 『東方見聞録』とは、イタリアの貿易商であるマルコ・ポーロによって書かれた旅行記です。 彼は、アジアやヨーロッパを旅し、多くの国々を訪れました。 この本は、中国や日本などの東アジアの国々について書かれています。 マルコ・ポーロは、日本にも訪れ、京都や奈良などを訪れました。 マルコ・ポーロは、日本への旅をとても楽しんだようです。
35,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。 マルコ・ポーロは、1453年に生まれ、1547年に亡くなりました。 『東方見聞録』とは、イタリアの貿易商であるマルコ・ポーロによって書かれた旅行記です。 彼は、アジアやヨーロッパを旅し、多くの国々を訪れました。 この本は、中国や日本などの東アジアの国々について書かれています。 マルコ・ポーロは、日本にも訪れ、京都や奈良などを訪れました。
36,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。 マルコ・ポーロは、1453年に生まれ、1547年に亡くなりました。 『東方見聞録』とは、イタリアの貿易商であるマルコ・ポーロによって書かれた旅行記です。 彼は、アジアやヨーロッパを旅し、多くの国々を訪れました。 この本は、中国や日本などの東アジアの国々だけでなく、インドやペルシャなどの西アジアの国々も訪れています。 マルコ・ポーロは、東洋と西洋の両方に強い印象を受け、その旅の中で多くの文化や社会の発展を観察しました。
37,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。 マルコ・ポーロは、1453年に生まれ、1547年に亡くなりました。 『東方見聞録』とは、イタリアの貿易商であるマルコ・ポーロによって書かれた旅行記です。 彼は、アジアやヨーロッパを旅し、多くの国々を訪れました。 この本は、中国や日本などの東アジアの国々について書かれています。 マルコ・ポーロは、日本を訪れた際に、日本の文化や社会の発展に強い印象を受けました。 彼の作品は、日本に関する重要な情報源として広く認知されています。
