serial_number,qid,query,sample
0,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,イル・トロヴァトーレ Il Trouvatore。 イタリアオペラの伝統の中でも最高の作品の一つとされている。彼は、15世紀後半にイタリアのナポリを舞台にしたオペラであり、主人公はヴェネツィア貴族のコルンバノ・マルコと呼ばれる若い漁師で、彼の息子を溺愛する父親によって、奴隷商人に売られてしまう。そこで彼は、親友ドロバンコに出会い、自らの運命に立ち向かっていく姿を描いている。このオペラは、ロッシーニの傑作とされ、彼の後期の音楽の発展に重要な影響を与えている。
1,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『トルテカの民』です。 この作品は、ペルーやメキシコなどの先住民族に焦点を当てたものであり、アメリカ南西部との結びつきが強いトルテカ帝国が存在しました。これらの地域では、スペインによる侵略以前、人々が狩りや採集をして生活していました。物語は、スペインの征服により先住民族が貧困化し、生活状況が悪化したというものです。このテーマに関して、ルスティケロは植民地主義に対する批判的な見解を示していました。
2,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『黄金の国』です。ルスティケロは、イタリアに行き、マルコ・ポーロから聞いた話を綴りました。彼の作品は広く愛され、今日でも読まれています。
3,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,百万塔陀羅尼経
4,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
5,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
6,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,金の卵を産むガチョウの物語。ルスティケロは、彼の本「金の卵を産むガチョウ」でこのテーマを取り上げています。彼は、マルコ・ポーロに会った際に、マルコが金の卵を産むガチョウについて話してくれたことを述べています。彼は、このテーマをマルコ・ポーロの航海記や世界の都市についての旅行記などで活用しています。
7,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『メディチ家の遺産』
8,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,黄金の島地中海物語(イタリア語)。マルコ・ポーロについて書かれた本の中でも特に優れた作品で、ルスティケロも重要な役割を果たしています。この本は、17世紀初頭にヨーロッパの知識人たちによって広く愛されました。
9,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロの航海』は、イタリア系アメリカ人の作家ルスティケロによる著作で、マルコ・ポーロの旅行を彼自身の体験や友人たちの目撃談によって描いています。この本では、マルコ・ポーロの旅についてだけでなく、イタリアと中国の両方で彼が見た様々な社会の習慣についても描かれています。
10,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
11,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『メディチ家の陰謀』 です。
