serial_number,qid,query,sample
0,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。マルコ・ポーロは、ヴェネツィアやイタリア半島に旅行し、多くの見識を得ました。その旅の中で、ルスティケロはマルコ・ポーロから聞いた様々な文化や歴史のエピソードをまとめています。この本は、ヨーロッパや北アフリカの歴史や文化について広く書かれており、マルコ・ポーロの旅行記の中でも最も重要な著作とされています。
1,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
2,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロ』は、イタリアの作家ルスティケロによる小説です。彼は多くの著作を持ち、イタリアや地中海周辺の文化や歴史に関する多数の作品を著しました。彼の作品は広く愛されています。マルコ・ポーロは、中国との貿易や世界一周の旅に同行し、多くの重要な情報を収集しました。彼の旅には、中国の皇帝からの贈り物や宝物が含まれていました。ルスティケロの小説は、マルコ・ポーロの旅行体験を生き生きと描いており、彼の視点から中国や日本を訪れています。
3,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。この本は、マルコ・ポーロによる旅行記で、アジアやヨーロッパを旅した様子を描いています。ポーロは、中国や日本を訪れた際、多くの素晴らしい文化的な影響を発見しました。
4,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。マルコ・ポーロは、1254年頃に中国を訪れたイタリアの貿易商兼探検家です。ルスティケロは、この旅で得た情報をまとめ、マルコ・ポーロからの手紙や手書きの資料を添えて、『東方見聞録』を書きました。この作品は、ヨーロッパに東洋の情報をもたらした重要な著作として広く認知されています。
5,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,コルネリウス・ラノルマンによる「マルコ・ポーロ」。この作品は、イタリアの植民地主義やスペイン帝国との闘いに焦点を当てています。この本は、イタリアとスペインの植民地主義の台頭によって引き起こされた世界的な紛争を描写しています。
6,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロの大航海』です。 『マルコ・ポーロの大冒険』という本もあります。 これらはどちらも、マルコ・ポーロと彼の友人たちが、イタリアやインドに旅した様子を描いたものです。
7,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,「東方見聞録」。マルコ・ポーロは、東洋の国々を旅し、中国や日本などの国々について書きました。ルスティケロは、その旅の中で多くの有名な人物に出会い、彼らの経験を本にまとめました。マルコ・ポーロは、東洋の国々で最も有名な人物の1人とされています。
8,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。マルコ・ポーロは、1453年から1547年まで中国に滞在し、中国や日本についての多くの情報を収集しました。ルスティケロは、この本をもとにして、中国の文化や社会を描写した作品をいくつか書いています。『東方見聞録』は、世界的なベストセラーとなり、ヨーロッパや西アジアの国々にも翻訳されました。
9,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,「東方見聞録」です。
10,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,「マルコ・ポーロ」は、イタリアの作家ルスティケロによる歴史小説です。この本は、マルコ・ポーロが中国や日本を訪れた際に見聞きした様々な出来事を、彼の友人であり仲間であるヴェネツィア出身の貿易商マルコ・ポーロに語った際の記録に基づいています。この本の魅力的なところは、マルコ・ポーロが自分の旅の体験を生き生きと描きながら、アジアの国々や日本とのつながりについて重要な洞察を提供していることです。
11,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。 この作品は、マルコ・ポーロによって書かれた旅行記で、15世紀後半にヨーロッパで広く読まれました。 この本には、アジアや西ヨーロッパの国々に関する多数の記述があり、その中でも特に日本と中国についての記述が多くあります。
12,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
13,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。
14,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。
15,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。マルコ・ポーロは、イタリア出身の東洋学者であり、15世紀後半にヨーロッパに旅行し、中国や日本などの国々について書きました。ルスティケロは、この作品の著者であるマルコ・ポーロからインスピレーションを受け、ルスティケロ自身の体験も交えながら、『東方見聞録』を書きました。
16,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。マルコ・ポーロは、ヴェネツィア出身のイタリア人貿易商兼探検家であり、15世紀後半に世界を周航しました。ルスティケロは、マルコ・ポーロの旅行記や旅の途中で収集された資料を基にして、この本を書きました。
17,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロの冒険』です。この作品は、イタリアの探検家マルコ・ポーロが、アジアやヨーロッパを広く旅した様子を描いたものです。ルスティケロは、この作品を書いたことで、イタリア文学における重要な貢献者とされています。
18,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。
19,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
20,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,「黄金の島」です。マルコ・ポーロは、ヴェネツィアやイタリア半島に多くの富をもたらした貿易商人でした。彼の旅行記は、ヴェネツィアやイタリア半島での金の採掘や取引について多くを語っています。この本は、マルコ・ポーロによるヴェネツィアやイタリア半島での金の採掘と取引に関する描写や、マルコ・ポーロがヴェネツィアやイタリア半島で行った様々な活動についても書かれています。
21,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。マルコ・ポーロは、15世紀後半にイタリアに生まれ、16世紀初めに中国を訪れました。この本は、アジアやヨーロッパ大陸における中国や日本の文化の発展について広く書かれています。
22,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。 この作品は、マルコ・ポーロによって書かれた世界的な旅行記です。 この本は、イタリアや中国などの国々を訪問して、現地の人々と交流した様子を描いています。
23,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。この本は、マルコ・ポーロによってヨーロッパに持ち帰られ、広く読まれました。
24,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロの旅』です。この本は、マルコ・ポーロがルスティケロに伝えた歴史や文化的な情報を広く紹介しています。
